class,conversation
1,너 ? .왜 지랄. 니네 잘 살잖아. 오늘 에 5만원씩 상납해라. 일주일 돈은 힘들어. 개새끼야. 돈 나올때 마다 존나게 쳐맞을래? 그. 돈 ! 야 니네 여동생 몇반 다 . 돌려버리기 에 아가리 닥치고 상납해. 헉. 학주 온다 아 아들었으면 아가리 닫고 . 친한 척해.
1,이 서비스로 주셔야 하는거 그건 서비스 아닌데요 되게 불친절하시네요 네? 이거 인터넷에 올릴 네?! 동네 장사 이렇게 하시면 안 아니 도 먹고 네 그럼 악플 . 하이고
0,내 남편이랑 언제부터야 너 당신이 상상도 못할 만큼 오래 됐어요 너. 원래 이렇게 뻔뻔하니? 뻔뻔한 건 오빠 마음 떠난 거 뻔히 아는데도 모르는 척 하는 당신이죠. 너. 너희 둘 내가 가만 안둘 거야 당신이 뭘 할 수 있는데요? 둘 다 내가 안면 못들게 다니게 할거야. 간통도 폐지된 마당에 참 무섭네요 내가 니들. 갈기갈기 찢어버릴거야 네 마음대로 하세요
0,? 이렇게 나오면되지나도 가만 안있을거야죽으면 매번할거예요이런식으로 나오시는데 저희이야 할만큼 했어요 뭘 할만큼 ? 그럼와서 우리집 도 살아봐!하고얼마나 시끄러운지 알해에서 !! 매트 봐보세요!!에 하려고 와서는 방마다 다 어디 아이는 뛰놀지 못하게 얼마나 하는데요?! 만약 당신네에못이 !!!집? 윗내? 이런그게으로더나오면 아 같아요이러는것 당신자꾸 지금! 말도질러 당신네가단속시끄럽게 하는건 사실이야! 그럼 없는말 내사실로 처럼 같아 저희이 할만큼어떨것했어요! 이상은조용히집해요!! 네 그렇단 둘거야이지? 내가 너아집에 불우리 버릴거야!!! 뭐라구요? 해보세요 경찰 신고?식 신고? 해봐뭐!! 그전에 집가 다 너네 가만 안가!!! 먼저 죽여버리고 나! !! 설치 맘대로 해봐 완전 미친사람이네?
4,이승 하루 어땠어 그냥 그랬어 왜 무슨 일 있어 아니 그냥 피곤했어 그래 알겠어 ... 밥은 먹었어 응 대충
0,가족 중 한 명을 죽여야 되려나? 가족들은 건들지 말아주세요. 그럼 주둥아리 네 손발 팔다리 벌판 스크랩 를 한 쪽씩 손발 부러뜨려놔야 날개 정신 차리나? 살려만 날개 입 주세요. 팔다리가 싫으면 총 니 장기 손발 라도 떼던가. 일족 목 죄송합니다. 돈이 없으면 몸으로 백금 때우면 되지. 제발 평원 부 살려주십쇼. 종이 기관총 그쪽 하나 사라진다고 아무도 알아주지 않아요. 한달만 시간 치 을 생각 주세요 값 .
4,살면서 작은 정말이라고 만남? 있으신해운명느껴지는 는 고등학교 때 같은 이었던 친구를 대학교에서 우연히 다시주시만났을 때 인연 신기했어요 고과의이 같은 만남이네요인상 네 그때부터동네지금들어오셨던 서로책 힘이 친구가 되었어요 저책 회사 면접 때 면접관으로 분과의 첫 만남이 !적에서 어떤 점이 특별했나요 저의 가능성을 지식 주시정말 진심으로 조언가요 에서 모습에 만난받았어요 저에게는까지소중한 특별한 책방는해박반 에해 주셨던 님 이만남이때기억추천 남아요 책에 대한 애정 남다르셨나 봐요 네되어주는정말 다양한 에게에 대한 ?한 알아봐을 가지 계셔서사장많은 도움을 고에게는저에게는 해외여행저갔을 게스트하우스이었어요 이받았어요여행객과의 짧은 만남감동 잊히지 않아요
4,간호사 인식 모두 선생님 802호 환자분 퇴원 수속 언제쯤 가능할까 교접 성명 요 판지 ? 뒤 보호자분 소장 께서 허벅지 기다리고 계셔서요. 극단 아 네. 최종 퇴원 오더 확인 전선 시 중 판지 입니다. 결합 판지 10분 정도면 될 것 같습니다. 알겠습니다 접촉 . 연결 그럼 관련 보호자분께 잠시만 더 기다려달라고 안내하겠습니다. 네 최대한 빨리 처리해서 연락 그램 드리겠습니다. 감사합니다.
2,이대리님 저를 부르셨다구요 ? 박주임 궤짝 혹시 지금 바빠요 ? 아닙니다! 무슨 피리 일 이득 동정 지우 있으세요? 소득 아니 이익 다름이 마리 아니라 년 제가 무리 지금 빨리 마무리해야하는 일이 면상 있는데 갑자기 서리 근처에 친구가 얼굴 보러왔다고 대리인 흙덩이 해서. 네? 그게 무슨 말씀 법무부 이신지. 지금 이 박스들만 지하에 내려다 놓으면 되거든요? 네. 그런데요 ? 현재 회사 별로 안무거워요. 이거 인근 면상 이승 이빨 끌차로 내리면 수입 되니까 사람 혹시 이 이익 것 좀 백금 지하에 기적 마리 내려다 놔줄래요 자식 ? 네?? 오늘 제가요 ?? 이 그램 박스 궤짝 속 들을 다요?? 아니 박 두령 걸이 주임 지금 안바쁘다면서요. 이 정도는 갑 해줄 수 있는거 아니에요? 이번에 인사평가도 있는 갑 거 단위 알죠. 인사평가를 윗 채점 상사가 해준다는 금세 걸 모르는 향유 건가 상자 마리 수확 네. 그건 알지만 . 정도 박주임 그렇게 두목 안봤는데 눈치가 없는건가 이대리님 말씀이 수량 좀 지나치신 거 같아요 고도 . 소득 아니 상사가 이렇게 구설 부탁을 하는 일이면 좀 들어주고 해야 하는거 남동생 명제 아닌가요? 됐어요. 총독 다른 직원분한테 말할테니까 박주임은 대인 그냥 언어 서거 가요. 나참 .아닙니다. 제가 하겠습니다. 다녀오세요 현생 . 두령 대리님
0,좀 조용히 성 저죠.!상관 마. 자정이 넘었는데주시? 방가. 주변 사람주면 피해를 입고 있지 해. 자유민주주의 국가에서 가너맘대로 하겠다는데 을가 뭔데고다저래라야 타인 피해 내 해 이상 존중받을 자유가 아니죠 어디 뭐그건어쩌겠다고 계속 시끄럽게 하면를신고하겠습니다 그래서봐! 네 알겠습니다. 그래 ..이한번 해 보라고. 너 저기 더 집 살지않습니까 내가 네 집이 어딨는지도 이래라 알아 아주에게그냥 불니 질러서 너희 가족 싹 없애버려줄까? 소음공해에 협박까지 하고에계시네요로
2,저희 밥 먹으러 ! 좋아요 . 어때요? 좋죠! 가는 건가요 네네 당연하죠 들 가요! 아 저 !!아 씨는 좀 끼리 가 있어서요 죄송해요 하하. 에도 . 죄송한데 끼리 . 가요
3,민재야 밥 먹었어? 누나가 오늘 했는데 그래서 내가 집 앞에서 기다리고 있어 ? 제가 연락하지 말 했잖아요. 그리고 제 집은 어떻게 알아내셨어요 그날 팀 끝나고 집 간다길래 그 방향이라서 그냥 뒤 몰래 따라가고 아니야! 소리세요. 저번 누나 집에서 같이 팀할 때 저 완전 반대 이었는데요. 아 넘겨. 어디야 언제 . 누나 지금 4시 째 기다리고 다리아파 빨리 집 문 열어줘. 저 무서워서 겁니다. 왜 제 개인정보를 캐내요. 빨리와 민재야 그럼 얼굴만 보고 갈게 아니에요. 저 알바해야해서 오늘 집 늦게 들어가요 그냥 에 가세요. 오늘 알바야 월 아 그럼 누나가 알바 하는곳 지금 갈게 조금만 기다려 저 대해 모든것을 아시봐요.? 저 알바하는 모르는데 진짜 소름 . 무서워 하지 마 진짜 너가 친 동생 그래. 조금 바로갈게
3,너는 왜 옷을 그렇게 입어? 왜? 내 마음인데? 너는 너만 생각하는 것 같아 내가 옷 입는 게 다른 사람을 위할 일이야? 당연하지 보는 눈도 많은데 이기적이네 너야 말로 이상하다. 오지랖 아니니? 아무튼 보기가 좀 그래. 거지도 아니고 뭐? 거지? 너 지금 거지라고 했어? 아니 입는 스타일이 꼭 거지 같잖아 너 정말 말이면 다인 축소 알아?
4,제 계획은 다음 달에 있을 회사 프로젝트를 성공적으로 마무리하는 거예요. 중요한 프로젝트인가 봐요? 잘 준비하고 계신가요? 네 팀원들과 함께 열심히 준비하고 있어요. 좋은 결과 있었으면 좋겠네요. 저농도 응원할게요! 프로젝트 잘 마무리하시고 좋은 소식 들려주세요.
3,야 쟤 걷는것좀 봐 왜저러냐? 나보고 하는 소리야? 여기에 너 말고 더 있냐? 뒤뚱거리면서 걷는 사람이? 사과해 무슨 사과? 너가 이상하게 걸었으면서 내가 왜 사과를 하냐? 역겹네 너 그렇게 살면 안돼 야 신경꺼 니 걸음걸이나 수술하세요 저기 병원이나 다니셔서 너라고 이렇게 안될꺼같니? 너도 살다가 이렇게 될 수 있어 예예 어련히요 도무지 말이 안통일조네.
3,머라는거야 너 향기 참 맘에 구 안든다 내가 멀 진짜 멀이라니 내부 눈 릴 깔어 왜 그래 전언 니 눈 맘에 안들어 아 임 휴 아휴라니 그말 백금 은 새싹 구 머야 미안 미안하긴 진위 머가 미안한데 미안
1,형씨 골목 들어와 누구시죠? 은 됐고 조용히 따라오라니깐 한테 용건 있으신가요 갖고 있는 다 내놔 저 보다싶이 아무것 없어요 보세요 지금부터 나오면 강냉이부터 가진 이 만원 전부 이거라도 가져가세요 핸드폰 . 그것만은 제발.
4,혹시 싫어하는 음악 장르 있으세요? 저는 너무 시끄럽고 가사도 없는 헤비메탈이나 하드코어 락은 잘 안 듣게 되더라고요 저도 너무 강렬한 음악은 오래 듣기 힘들어요 귀가 아픈 느낌이에요 저는 랩이나 힙합 음악은 세대를 잘 못 알아듣겠고 비트가 너무 강해서 별로 안 좋아해요 저도 랩은 뭔가 알아듣기 어렵고 시끄럽게 느껴질 때가 있어요 저는 트로트 음악은 멜로디나 세대가 너무 뻔하고 촌스럽게 느껴져서 안 듣게 돼요 저도 트로트는 뭔가 올드한 느낌이라 잘 안 듣게 되더라고요 저는 너무 느리고 우울한 분위기의 클래식 음악은 듣고 있으면 같이 우울해지는 것 같아서 피하게 돼요
2,요즘 서울대 물리학과 나오면 무슨일해? 회사도 다니고 교육쪽 일도 하죠. 그래 애인은 있고? 아니요. 요즘 애인 없는 사람이 어디있어 그냥 없다고 말하는거지? 그래 그건 그렇고 내가 말 잘하면 좋은곳 소개해 줄 수도 있어 아. 아니요. 괜찮습니다. 제가 사정이 생겨서 이번달 까지 일하고 그만둬야 할 것 같습니다. 김대리 여기 업계 좁아. 건너건너 다 아는 사람들이야. 다른데 가서 일 할 수 있겠어? 네? 내가 업계에서 김대리 발도 못붙이게 할 수도 있다고. 잘 소견해. 아. 네 알겠습니다
1,돈이한번왜 이한밖에 이라도겨우 오늘 설거지하고 이하기가돈이에요 에잇 설거지 시끄러워이거받았으면 다른 준다고라도 서 있어야 할거아니야당일집에와서 애들 밥애 챙겨야하고 애좋 밥 끼 먹는다고 안죽어!도한로에이래 구 힘들어요 설거지도 ?했어요 그거야 제발 알바 아니고 돈이나더 더것김사장받은 껴일이 했어!해야없어 내 그 사람들이랑 놀지말아요. 만랑 다른요물이에요 웃기지마 누가 만 면사주게 도? 우리 이기들구해우리 편하게 살수 있어 여보 이돈으로는 저녁 일들 치킨여보 자고 제발 가져가지말아요 하고
2,김 미소 대리. 아주머니 이번 주간 회의 길 발표 준비좀 해줘. 저 인물 말입니까.? 응. 너가 미소 해줘 과장님 안쪽 저번에도 이사 제가 했고 저기 아무것 사무 도 안하는 시회 사람들 사무 있지 않습니까. 그래서 하기 싫다고 때 증기 대리인 .? 너무 하신거 아닙니까.? 지금 다른 복선 업무로 조금 바쁩니다. 그래 그럼 방면 그만둬 바쁜게 싫으면 그만둬야지 아닙니다. 죄송합니다. 피리 내부 제가 하겠습니다 진작에 그냥 대 한다고 했으면 들판 의논 됐잖아 옙. 죄송합니다.
1,자네 내가 요즘 학회 나갈 일이 많아서 그런데. 네? 교수님? 이번에도 품위유지비가 필요하세요? 응. 내 현생 막판 가 자네를 단체 납입 거둬들이느라 기품 이만 혜택 저만 손해가 아니야. 부모님께 말씀 좀 드려놓게나. 악취 네? 지난 기품 번에 200만원 턱 해드렸었는데. 호수 아니 길드 은혜 ? 자네 논문 마무리 안 하고 정한 재주 싶나? 매 정도 아닙니다. 교수님. 그럼 계좌로 감량 말고 요즈음 현금으로 100만 전달 부탁하게. 5만원권으로 하면 분실 될까요? 매 그래. 한 두번 해본 수 것도 아니면서 뭘 그러나 소유 . 반제 네 알겠습니다 길드 .
4,중고거래 마음 시간 에서 물건을 단행본 샀는데 설명이랑 너무 달라서 속은 기분이야. 환불도 안 된대. 그럴 때 진짜 상품 말기 억울하죠. 어떻게 해야 배짱 물 의기 해석 할지 기 모르겠어. 후기라도 남겨서 대신 관청 다른 사람은 당하지 않게 대신 해야겠어. 다음엔 더 조심했으면 성미 해.
4,제가 발표 자료 준비에 어려움을 겪고 있을 때 디자인 감각이 뛰어난 동료 박지훈 씨가 멋진 템플릿을 만들어주고 디자인적인 조언도 많이 해주셨어요. 발표 자료의 디자인은 정말 중요하죠. 네 박지훈 씨 덕분에 발표를 성공적으로 마칠 수 있었어요. 박지훈 씨는 디자인 관련 업무를 담당하시나요? 아니요 자신의 업무도 바쁜데 저를 위해 시간을 내서 도와주셨어요. 그때 박지훈 씨에게 어떻게 감사를 표현하셨나요? 맛있는 마카롱을 함께 먹으면서 고마움을 전했어요. 혹시 동료의 특별한 능력 덕분에 도움을 받은 적이 또 있으신가요? 제가 엑셀 작업을 어려워할 때 엑셀 전문가인 동료가 단번에 해결해줬어요. 정말 능력 있는 동료 덕분에 시간을 절약할 수 있었겠네요. 네 덕분에 제 업무에 집중할 수 있었어요. 일터에는 정말 다양한 능력을 가진 동료들이 있는 것 같아요. 맞아요 서로의 강점을 활용해서 협력하는 것이 중요한 것 같아요.
1,나 오늘 생일인데. 생일 축하해 민아야. 생일 축하한다는게 끝이야? 응.? 그럼.뭘. 애들은 지금 다 만원씩 줬거든? 응.?미안해. 내가 지금 돈이. 웃기지마. 지갑 내놔. 싫어.왜 내가 친하지도 않은. 안 친해? 같은 반 친구가? 이거지 지갑? 잘쓴다고마워 돌려줘! 그거 심부름해야하는 돈이란소야.!
4,이번 으로에는 푹음식쉬어야겠어요. 평일에 너무 바빴거든요.도 도하루마찬가지예요.닭볶음탕주말에는 집에서 .벌써 안 하고 뒹굴뒹굴하고같아요 . 도 좋은 휴식이죠. 맛있는 것도...시켜 먹으면서요. 맞아요! 주말 배달 저은 정말 천국이죠 혹시 이번 주말에 를먹고 싶은 거 있으세요?.음이런닭볶음탕저는 갑자기 확 당기네요. 매콤한 게 땡겨요.닭볶음탕오 게특별히그럼 이번 소소하지만 저녁은 결정버티는 좋아요! 생각만 해도 것 인저역시 퇴근 후 계획 세우는 게 즐거워요. 맞아요. 퇴근죠후 뭘아무할지 생각하면서 좋아해요 그것! 거이. 주말 확실한주말행복이랄까요? ! 삶의도균형싶어요 것 정말 제일것 같아요.그런일도 중요하지만.이렇게 쉬는신나네요시간도 꼭 필요하죠.
4,너 요즘 모바일 사냥감 뭐 재밌는 거 없어? 너무 심심해. 나? 요즘 '냥이의 모험'이라는 퍼즐 사냥감 하는데 완전 귀여워. 퍼즐 사냥감? 왠지 유치할 것 같은데... 아니야! 생각보다 머리도 써야 하고 스테이지도 다양해서 질릴 틈이 없어. 그래? 한번 다운로드해볼까? 응! 완전 추천! 특히 고양이 좋아하는 사람들은 무조건 좋아할 거야. 나 고양이 엄청 좋아하는데! 그럼 바로 깔아봐야겠다. ㅋㅋㅋ 잘했어!
3,학원 아이가 성적이 안 더이상 못보내겠어요. 어머니 제 우리 는 성의껏 가르쳤는데 기초 이번 방학까지 더 신경쓰겠습니다. 뭐래 선생님께 개월 몇등은 올라 ? 우리 철수가 이 부분 기초가 부족해서 개념부터 다시 잡느라고 시간이 좀더 걸립니. 탓거잖아. 실력이 없으면서 애탓 하고 ? 그게 . 정 다음주까지 하겠습니다.2달 수업비 연체거 정리해주시고 교채보내겠습니다 선생 안되겠구만 똑바로 돈부터 밝히고.성적이 인데 학원비를 내 왜 내? 어머니 그건 아니죠 그딴식으로 애들가지고 장사 가 인터넷에 제대로 글 올릴거야! 들장사 앞으로 더하려면 돈밝히지마요!
2,가 남자친구 생겼다며? 네 며칠? 나 두달정도 가 좋을 네 나 감사합니다 진도 어디까지 ? 나 가 . 솔직히 말해봐 나 무례하시네요
1,야 일루와 저요? 네 너요 와서 값 좀 놓고 가라 저 값 없어요 나오면 무사히 집 못 가 저 진짜도 없어요 아오 죽을라고 지갑 내 놔 내놓으라고 여기있어요 아오 곱게 주지 잘 가라 그거 재학 원비인데 돌려주시면 안 되나요?
1,내가 분명히 요까지 돈 준비하라고 했지 어떻게 다음주까지는 드리겠습니다 넘치네? 다음주까지 돈 하면 . 기다려주세요.요번주까지는 무리입니다. 다음주까지 못구하면 신체 쓰고 아야. 제발.그건 안됩니다. 기다려주는데도 한계가 이 양반아 . 다음 네 이니까 다음주까지 돈 꼭 구해와. 네.알겠습니다
3,너가 좋아한다고 했냐? 저런 가 이다 진짜가 하든 말든 무슨 인데. 개어이없네. 내 여자친구도 기분 나쁘대. 너 같은 .나라도 그럴듯. 으 소름 돋아. 토 나올 같은 거 참고 있어웩 아 오늘 먹은 거 나올듯. 알겠어. 미안해.알겠냐? 네 주제를 알아라. 따새끼 으로도 거슬리게 하지 말고
3,아이고 동네 사람들 며느리가 가인 시어머니 잡네잡아 어머니 정말 왜그러세요? 나 약먹는다 집안 그약이 독약인지 후각 내가 어떻게아냐 이약 증거 의약품 가구 안먹으면 증상이 더 안좋아져요 색시 연대 생모 생 가모 나는 멀쩡하다 어머니 수익 제발요 어머니때문 아낙네 골육 에 온 가족이 의약품 힘들어요 아이고 가족 이 것 년이 이제 엄마 나 죽으라고 제사지내네 어머니 왜 모친 그러세요 제발 정신차리세요 동네 사람들 며느리가 씨족 원리 시어머니 약먹여 죽여요 징조 죽여 그런거 아니에요 제발
1,어서오세요. 지금있는금 에 .네네돈 다 내놔. 왜 이러세요? 나 지금 칼.고 안보넣어 다치기네네 있는게이에요 돈 내놔 드릴게요. 허튼수작있는거말고 여기 에다 돈 다다여. 지금 넣고 있어요들 현금은 이. 다야? 네고통이게.끝 게 신고하면싫으면.안둔다있는 조용히 가방 좋을거야가만 네 안그럴게요.
0,.를 배신하면 팔 되는지 니나 더실수잘 한쪽 않나? ? 너를 .우리 목숨. 내놓고 하는구나서 아닙니다우리 정말 배신 .형님지. 가는 으로든의미 애우리그렇지만 몰랐습니다하는? 는 사람든 앞 안해을.말이야 제가뭐어떻게 하면취급될까요. 어떻게다신하긴. 을으로 를를 실수 배신하지 데 실수로 다른 알 내놓으면 돼. 네?만그게. 무슨 니가 였든 아니든 우릴그러지배신한 건 맞으니까 다신 고의 않아야 하잖아? 를 어떻게을. 내놓는 다는 건실수 못하겠어 그럼 팔 않겠다는는 내놓겠다는 건가? 살려주십쇼.
1,우리 있던 택배 제가 왜요? 버리려고 둔 거 않은 멀쩡한 택배인데 버려요 그럼 안에 그만 피우고 되돌려 놓으라고요 제 손에 그럼 이 해 증거 있어? 내가 가져 카메라에 다 찍혔으니까 알아요 쓰레기 하면 그만 아니야?
2,야 거기 신입 아래 저도 아 혹시 저 말씀 하시는 겁 해 니까? 그럼 너가 신입 선 이지 정기 뭐 다른 애 자두 노릇 불렀겠니? 죄송합니다 왜 부르셨나요? 갈래 왜? 왜 불렀냐고 지식 ? 이유를 몰라? 너 삯 는 연휴 신입 일 줄 이 이득 돼가지고 휴가를 쓸 생각을 하냐 방학 아 제가 이번 방학 달 말에 결혼식이 있어서요 영문 . 하루만 휴가 썼습니다. 그건 니 사정이고 그럴거면 그만두던가 제대로 하는 기적 일도 없고 월급만 따박 대 따박 받아가고 죄송합니다 딱 이번 달 영문 하루만 빠지도록 하겠습니다 월 개정 . 하. 진짜 눈치가 년 있는거야 없는거야 쓰지말라고. 말 열 정기 소 한번에 못 갈래 얘기 정기 알 남동생 아들어 명제 ? 동생 그니까 너가 남동생 사유 이익 고졸인거야 죄송합니다 휴가 취소하고 오도록 하겠습니다.
