topic,conversation
옷 빌리기,"야 혹시 네 옷 중에 편하게 입을 만한 후드티나 맨투맨 같은 거 있을까? 물론 안 되면 괜찮아!
오늘 그냥 편하게 있고 싶은데 마땅한 옷이 없어서. 네 옷 편해 보이는 거 많길래 혹시나 해서.
내 아끼는 후드티 있는데 혹시 괜찮으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 너무 크면 그냥 내 옷 입을게!
아냐 괜찮아. 편하게 입고 있어.
고마워! 혹시 불편하면 바로 말할게!"
옷 빌리기,"야 혹시 네 신발 중에 내가 오늘 잠깐 신을 만한 편한 거 있을까? 물론 불편하면 안 빌려줘도 괜찮아!
오늘 오래 걸어야 하는데 편한 신발이 없어서. 네 신발 편해 보이는 거 많길래 혹시나 해서.
내 아끼는 운동화 있는데 혹시 사이즈 맞으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 사이즈 안 맞으면 그냥 내 신발 신을게!
그래 한번 신어봐. 편하면 신고 가.
고마워! 혹시 불편하면 바로 갈아 신을게!"
옷 빌리기,"야 혹시 네 액세서리 중에 내가 오늘 하고 갈 만한 예쁜 거 있을까? 물론 없으면 어쩔 수 없고!
오늘 좀 꾸미고 싶은데 마땅한 액세서리가 없어서. 네 액세서리 예쁜 거 많길래 혹시나 해서.
내가 아끼는 목걸이 있는데 혹시 괜찮으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 너무 화려하면 그냥 안 할게!
아냐 괜찮아. 예쁘게 하고 다녀와.
고마워! 혹시 불편하면 바로 뺄게!"
옷 빌리기,"야 혹시 네 모자 중에 내가 오늘 쓸 만한 괜찮은 거 있을까? 물론 불편하면 안 빌려줘도 괜찮아!
오늘 머리 상태가 별로라서 모자 쓰고 싶은데 마땅한 게 없어서. 네 모자 예쁜 거 많길래 혹시나 해서.
내 아끼는 모자 있는데 혹시 괜찮으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 너무 안 어울리면 그냥 안 쓸게!
아냐 괜찮아. 편하게 쓰고 다녀와.
고마워! 혹시 불편하면 바로 벗을게!"
옷 빌리기,"야 혹시 네 옷 중에 내가 내일 면접 볼 때 입을 만한 단정한 거 있을까? 물론 불편하면 안 빌려줘도 괜찮아!
면접? 어떤 스타일 생각하고 있는데? 혹시 다른 옷은 없어?
음... 깔끔한 블라우스나 재킷 같은 거 있으면 좋을 것 같아서. 네 옷 단정한 거 많길래 혹시나 해서.
내가 아끼는 블라우스랑 재킷 있는데 혹시 사이즈 맞으면 빌려줄까? 물론 부담스러우면 됐어!
정말? 너무 고맙지! 혹시 안 어울리거나 불편하면 그냥 내 옷 입을게!
그래 한번 입어봐. 잘 되면 좋겠다!
고마워! 혹시 안 되면 그냥 내 옷 입을게!"
옷 빌리기,"야 혹시 너 아끼는 옷 중에 빌려줄 만한 거 있어? 이번 주말에 중요한 자리 있는데.
음... 아끼는 옷 말고 다른 건 진짜 없는데. 혹시 급해?
응 ㅠㅠ 딱 하루만 빌려주면 안 될까? 진짜 조심해서 입고 바로 줄게.
아... 내가 엄청 아끼는 거라... 혹시 다른 친구한테도 한번 물어보는 건 어때?
알았어... 혹시 나중에 마음 바뀌면 연락 줘 ㅠㅠ
응 혹시 진짜 급하면 다시 한번 얘기해 봐."
옷 빌리기,"야 너 옷 진짜 예쁜 거 많잖아. 혹시 빌려줄 수 있는 거 있어? 친구 결혼식 가는데 입을 옷이 없어 ㅠㅠ
결혼식? 어떤 스타일 생각하는데? 혹시 다른 옷은 진짜 없어?
응 ㅠㅠ 네 옷 중에 예쁜 정장 있잖아 혹시 사이즈 맞으려나?
음... 그 정장은 나한테도 딱 맞는 거라... 혹시 다른 예쁜 옷도 많잖아 한번 둘러보는 건 어때?
알았어 ㅠㅠ 혹시 나중에 빌려줄 마음 생기면 연락 줘!
응 혹시 진짜 못 찾으면 다시 한번 말해 봐."
옷 빌리기,"야 혹시 너 아끼는 코트 중에 잠깐 빌려줄 수 있는 거 있어? 오늘 너무 추워 ㅠㅠ
내 제일 아끼는 캐시미어 코트 말하는 거야? 그거 진짜 따뜻하긴 한데...
딱 오늘만 빌려주면 안 될까? 진짜 잠깐만 입고 바로 줄게.
음... 그 코트는 드라이 맡긴 지 얼마 안 돼서... 혹시 다른 따뜻한 겉옷은 없어?
알았어 ㅠㅠ 혹시 나중에 괜찮아지면 빌려줘!
응 혹시 너무 추우면 다시 한번 얘기해 봐."
옷 빌리기,"야 너 옷 진짜 특이하고 예쁜 거 많잖아. 혹시 클럽 갈 때 입을 만한 좀 튀는 거 빌려줄 수 있어?
클럽...? 내가 아끼는 반짝이는 원피스 말하는 건가? 그거 완전 튀긴 한데...
딱 하루만 빌려주면 안 될까? 완전 신나게 놀고 바로 갖다줄게!
음... 클럽 가면 혹시 땀 흘리거나 찢어질 수도 있고... 혹시 다른 화려한 옷은 없어?
알았어 ㅠㅠ 혹시 나중에 기분 좋아지면 빌려줘!
응 혹시 진짜 옷 없으면 다시 한번 물어봐."
옷 빌리기,"야 혹시 너 아끼는 가방 중에 오늘 약속에 들고 갈 만한 괜찮은 거 잠깐 빌려줄 수 있어?
내 제일 아끼는 명품 가방 말하는 거야? 그거 진짜 아끼는 건데...
진짜 잠깐만 빌려주면 안 될까? 진짜 소중하게 들고 바로 줄게.
음... 혹시 스크래치라도 날까 봐 좀 걱정되네... 혹시 다른 괜찮은 가방은 없어?
알았어 ㅠㅠ 혹시 나중에 마음 바뀌면 빌려줘!
응 혹시 진짜 가방 없으면 다시 한번 얘기해 봐."
옷 빌리기,"야 혹시 너 편하게 입을 만한 후드티나 맨투맨 같은 거 빌려줄 수 있어? 오늘 그냥 편하게 있고 싶어.
내 제일 편한 후드티 말하는 건가? 그거 거의 내 최애템인데...
딱 오늘만 빌려주면 안 될까? 진짜 깨끗하게 입고 바로 줄게.
음... 혹시 늘어나거나 보풀 생길까 봐 좀 걱정돼서... 혹시 다른 편한 옷은 없어?
알았어 ㅠㅠ 혹시 나중에 괜찮아지면 빌려줘!
응 혹시 진짜 편한 옷 없으면 다시 한번 물어봐."
옷 빌리기,"야 혹시 너 편한 운동화 잠깐 빌려 신을 수 있을까? 오늘 오래 걸어야 하는데.
내 제일 편한 운동화 말하는 거야? 그거 발도 안 아프고 좋은데...
딱 오늘만 빌려주면 안 될까? 진짜 깨끗하게 신고 바로 줄게.
음... 혹시 발 냄새 배거나 하면 좀 그래서... 혹시 다른 편한 신발은 없어?
알았어 ㅠㅠ 혹시 나중에 괜찮아지면 빌려줘!
응 혹시 진짜 불편하면 다시 한번 얘기해 봐."
옷 빌리기,"야 혹시 너 예쁜 목걸이 잠깐 빌려줄 수 있을까? 오늘 좀 꾸미고 싶어서.
내 제일 아끼는 목걸이 말하는 거야? 그거 진짜 특별한 건데...
딱 오늘만 빌려주면 안 될까? 진짜 조심해서 하고 바로 줄게.
음... 혹시 잃어버리거나 망가질까 봐 좀 걱정되네... 혹시 다른 액세서리는 없어?
알았어 ㅠㅠ 혹시 나중에 마음 바뀌면 빌려줘!
응 혹시 진짜 액세서리 없으면 다시 한번 얘기해 봐."
옷 빌리기,"야 혹시 너 괜찮은 모자 있으면 오늘 내가 잠깐 빌려 써도 될까? 머리 상태가 좀 안 좋아서 ㅠㅠ
내 제일 좋아하는 모자 말하는 건가? 그거 나한테 잘 어울린다고 다들 그러는데...
딱 오늘만 빌려주면 안 될까? 진짜 잠깐 쓰고 바로 줄게.
음... 혹시 땀 흘리거나 해서 모양 망가질까 봐 좀 걱정돼서... 혹시 다른 모자는 없어?
알았어 ㅠㅠ 혹시 나중에 괜찮아지면 빌려줘!
응 혹시 진짜 모자 없으면 다시 한번 물어봐."
옷 빌리기,"야 혹시 너 단정한 블라우스나 재킷 같은 거 내일 면접 때 입게 잠깐 빌려줄 수 있을까?
내 제일 단정한 블라우스랑 재킷 말하는 거야? 그거 면접 때 입으려고 아껴둔 건데...
딱 내일 하루만 빌려주면 안 될까? 진짜 깨끗하게 입고 바로 돌려줄게.
음... 혹시 사이즈 안 맞거나 하면 좀 그래서... 혹시 다른 단정한 옷은 없어?
알았어 ㅠㅠ 혹시 나중에 괜찮아지면 빌려줘!
응 혹시 진짜 면접 볼 옷 없으면 다시 한번 얘기해 봐."
물건 빌리기,"저기 혹시 풀 테이프 잠깐 빌릴 수 있을까요?
네 여기 있습니다
감사합니다 쓰고 바로 드릴게요
네 편하게 쓰세요
혹시 스테이플러도 빌릴 수 있을까요?
네 저쪽에 있어요
감사합니다
별말씀을요
다 쓰시면 제자리에 놔주세요
네 알겠습니다"
물건 빌리기,"혹시 칼이나 가위 있으세요?
네 잠시만요
감사합니다 이거 쓰고 바로 드릴게요
네 천천히 쓰세요
혹시 자도 빌릴 수 있을까요?
네 여기 있습니다
고맙습니다
별말씀을요
다 쓰시면 돌려주세요
네"
물건 빌리기,"혹시 충전기 좀 빌릴 수 있을까요?
어떤 충전기 말씀이세요?
아이폰 충전기요
네 잠시만요
감사합니다 쓰고 바로 돌려드릴게요
네
혹시 보조 배터리도 빌릴 수 있을까요?
네 여기 있어요
정말 감사합니다
별말씀을요"
물건 빌리기,"혹시 포스트잇 좀 빌릴 수 있을까요?
네 여기 있습니다
감사합니다 몇 개만 쓸게요
네 편하게 쓰세요
혹시 볼펜 검은색도 빌릴 수 있을까요?
네 저쪽에 있어요
감사합니다
별말씀을요"
물건 빌리기,"혹시 드라이버 좀 빌릴 수 있을까요?
어떤 드라이버 말씀이세요?
십자 드라이버 작은 거요
네 잠시만요
감사합니다 쓰고 바로 드릴게요
네
혹시 니퍼도 빌릴 수 있을까요?
네 저쪽에 있어요
감사합니다"
물건 빌리기,"저기 혹시 풀 테이프 잠깐 빌릴 수 있을까요?
아 죄송해요 지금 제가 쓰고 있는 중이라...
아 그렇군요 혹시 다 쓰시면 잠깐 빌려주실 수 있을까요?
네 알겠습니다 다 쓰면 바로 드릴게요
감사합니다
별말씀을요
혹시 다른 분한테 먼저 빌려보시는 건 어떠세요?
아 네 한번 여쭤볼게요"
물건 빌리기,"혹시 칼이나 가위 있으세요?
네 있는데 지금 택배 박스 뜯어야 해서...
아 그러시군요 그럼 다 쓰시고 잠깐 빌려주실 수 있을까요?
네 금방 쓸 거예요 잠시만 기다리세요
감사합니다
별말씀을요
혹시 급하시면 다른 분께 먼저 빌려보시는 게 좋을 것 같아요
아 네 알겠습니다"
물건 빌리기,"혹시 충전기 좀 빌릴 수 있을까요?
어떤 충전기 말씀이세요? 아이폰 충전기요
아 죄송해요 배터리가 얼마 없어서 제가 지금 충전 중이라...
아 그렇군요 혹시 충전 다 되면 잠깐 빌려주실 수 있을까요?
네 최대한 빨리 충전하고 빌려드릴게요
감사합니다
별말씀을요
혹시 다른 분께 충전기 빌릴 수 있는지 한번 여쭤보시는 건 어떠세요?"
물건 빌리기,"혹시 포스트잇 좀 빌릴 수 있을까요?
네 있는데 몇 장 안 남아서...
아 몇 장만 써도 괜찮은데 혹시 빌려주실 수 있을까요?
음... 정말 조금만 쓰셔야 해요
네 몇 장만 쓰고 바로 돌려드릴게요
감사합니다
별말씀을요
혹시 새 포스트잇 필요하시면 말씀하세요"
물건 빌리기,"혹시 드라이버 좀 빌릴 수 있을까요? 십자 드라이버 작은 거요
네 있는데 제가 지금 간단한 조립 작업을 하고 있어서...
아 그러시군요 혹시 작업 다 끝나시면 잠깐 빌려주실 수 있을까요?
네 금방 끝날 거예요 잠시만 기다리세요
감사합니다
별말씀을요
혹시 다른 분께 먼저 빌려보시는 것도 괜찮을 것 같아요"
물건 빌리기,"저기 죄송하지만 혹시 스테이플러 잠깐 빌릴 수 있을까요?
아 죄송해요 스테이플러 심이 얼마 안 남아서...
아 그렇군요 혹시 심 다 쓰시면 잠깐 빌려주실 수 있을까요?
네 알겠습니다 다 쓰면 말씀드릴게요
감사합니다
별말씀을요
혹시 스테이플러 심 있으시면 같이 빌려드릴 수 있어요"
물건 빌리기,"혹시 자 하나만 빌려주실 수 있을까요?
네 있는데 제가 도면 작업을 하고 있어서...
아 그러시군요 혹시 작업 끝나시면 잠깐 빌려주실 수 있을까요?
네 금방 끝날 거예요
감사합니다
별말씀을요
혹시 급하시면 다른 분께 빌려보시는 게 더 빠를 수도 있어요"
물건 빌리기,"혹시 보조 배터리 혹시 빌릴 수 있을까요?
아 죄송해요 저도 오늘 배터리가 얼마 없어서 아껴 쓰는 중이라...
아 그렇군요 혹시 나중에 조금이라도 충전되면 빌려주실 수 있을까요?
네 최대한 충전해보고 빌려드릴게요
감사합니다
별말씀을요
혹시 다른 분께 빌릴 수 있는지 한번 여쭤보시는 건 어떠세요?"
물건 빌리기,"혹시 볼펜 검은색 혹시 하나 빌릴 수 있을까요?
네 있는데 제가 지금 중요한 메모를 하고 있어서...
아 그러시군요 혹시 메모 다 하시면 잠깐 빌려주실 수 있을까요?
네 금방 쓸 거예요 잠시만 기다리세요
감사합니다
별말씀을요
혹시 다른 색깔 볼펜은 괜찮으세요?"
물건 빌리기,"혹시 니퍼 혹시 잠깐 빌릴 수 있을까요?
네 있는데 제가 지금 전선 작업을 하고 있어서...
아 그러시군요 혹시 작업 끝나시면 잠깐 빌려주실 수 있을까요?
네 거의 다 끝났어요 잠시만 기다리세요
감사합니다
별말씀을요
혹시 다른 분께 먼저 빌려보시는 것도 좋을 것 같아요"
